id,label
936,7
937,11
938,10
939,17
940,4
941,12
942,0
943,6
944,16
945,10
946,14
947,10
948,13
949,6
950,11
951,3
952,9
953,7
954,1
955,17
956,18
957,4
958,3
959,18
960,8
961,18
962,2
963,15
964,19
965,13
966,12
967,4
968,18
969,13
970,15
971,8
